kappa,diff_coef_rij,diff_exp_rij,diff_coef_rnn,diff_exp_rnn
0,70.20460598513122,1.013044309135733,0.2524921209344831,1.0119685332185946
0.01,67.87031109034386,0.9945680791685289,0.2528843297859428,0.9904325172607956
0.025,35.64121640376802,1.0265528694299486,0.14620233389954376,1.0149200244299728
0.05,31.947256906858176,1.007802223901467,0.12518703137159412,1.0000764307874144
0.1,17.821009306732726,1.015700001501572,0.060419031168978427,1.0200297558294156
0.25,7.335326421706842,1.0275761672098431,0.027707993033394926,1.0235181154523936
0.5,2.9457182705341247,1.0459110694055582,0.012439722484799676,1.0342968160733323
0.75,1.013034561741458,1.0627094757962803,0.003806212322773096,1.060453914281929
1,0.6873950197876447,1.042295896285522,0.002659129848320989,1.0368899245137604
2,0.1395902334935555,1.0640744100795523,0.0005504420814640774,1.058385974573672
3,0.045582628363344965,1.1038326793233983,0.00030821376910373567,1.058259812976678
5,0.01871786364493393,1.1412251980007329,0.00013190807742367394,1.094812101143269
