kappa,diff_coef_rij,diff_exp_rij,diff_coef_rnn,diff_exp_rnn
0,3664.6634883917054,0.983797608261953,0.022232810289349987,1.0225058935614353
0.001,4586.931251140909,0.96551197595714,0.02582561020682595,1.0118530478709555
0.0015,2500.2348121870314,1.0118333210267312,0.028223682866879277,1.0038247529313642
0.002,2614.440976441888,1.0028035962192603,0.024549183372340275,1.0165443716669076
0.0025,1399.1723623197383,1.048830540266538,0.025557670187296162,1.0124420792603368
0.003,1777.286537724403,1.0273521489091835,0.025491582841145565,1.0132465779438071
0.0035,1846.0205509624627,1.018052304448439,0.02899748079840082,1.0042695027944784
0.005,1441.3230467870653,1.004662677698129,0.028130112237452622,1.00682251558639
0.0075,718.2630834188628,1.0054947048135936,0.02657456025654746,1.0134007402713658
0.01,258.9884216962525,1.0537901475859954,0.02358508646755378,1.02594746071805
0.025,29.034505218133386,1.0953819501805493,0.014571667159230067,1.0773817421523484
0.05,4.439764757432255,1.1439923431425274,0.01246475418885476,1.0969393644554448
0.075,1.4848353999163988,1.1607110517272843,0.011010341761996088,1.0938202505169972
0.1,1.996799112302331,1.0909826066173796,0.012272234106803323,1.0711156825584214
0.2,0.4936909478380003,1.1140624099827188,0.005578734772052963,1.0940384763903517
0.5,0.4583327045207109,1.0363714976671097,0.002257250418626024,1.1137157266641742
1,0.1861952384694666,1.0624225860024672,0.0017725581485721514,1.0988196107327024
