kappa,diff_coef_rij,diff_exp_rij,diff_coef_rnn,diff_exp_rnn
0,460.60242771343786,1.0464439495635014,0.015939355552598622,1.0293490864984411
1e-4,992.1761112854097,0.9827671512906193,0.01500735730482324,1.0343710310442833
5e-4,504.4648690223515,1.0388928609921966,0.017922676751559508,1.0204038924842318
75e-5,1119.8238497791033,0.9791953607816931,0.011712590198359017,1.052819592043457
0.001,854.5438837892821,0.9924151268255784,0.01243432703100605,1.0452299655368504
0.005,758.046952091045,1.0020582542341794,0.019807002423704256,1.012737449743136
0.0075,567.5116735886556,1.0055084790330278,0.022487658514738128,0.9986807920371154
0.01,134.28960372266664,1.0973370319202498,0.016905786516867676,1.0230232077202477
0.025,45.997446496136575,1.0558423237221017,0.013988240643350072,1.0257138679055753
0.05,9.811241472505632,1.066921935257379,0.012136262553977048,1.0098996910930937
0.25,0.6402106043099254,1.0897079008084773,0.001601905698519525,1.079923196831659
0.5,0.3383915318590501,1.0816024517463472,0.0008388668409703873,1.0909338579762646
1,0.1088964282386227,1.1226806693662505,0.000516127665497036,1.09188542386023
