kappa,diff_coef_rij,diff_exp_rij,diff_coef_rnn,diff_exp_rnn
0.001,4.297298836231324,0.5064870271882792,0.14127886726588104,0.5163345223212481
0.01,4.070184407645745,0.49877113856140814,0.15713376569749565,0.4948661173038905
0.0125,3.9855572416032,0.4980267854953591,0.14749995575745017,0.4980385039667254
0.0175,3.7877521756431687,0.49704762977197836,0.14013036884406507,0.49715661811348033
0.02,3.5134764812721793,0.500723817180832,0.13366292892850665,0.49861987256378876
0.03,3.1026382811710955,0.4941374451077106,0.1189879397446142,0.49203842353943295
0.05,1.4213801949410303,0.5266886169680878,0.057181924127355455,0.5146059675476762
0.1,0.5330838319691388,0.5689277839511772,0.025931433780441118,0.528166862679205
0.25,0.1471977850763431,0.6333592804024054,0.0104986524397067,0.5374270847979489
0.5,0.046277819813417505,0.7066191824034123,0.0061501540587801965,0.5323310584367208
1.5,0.01272025599893829,0.7943020240795925,0.003394999518209207,0.5206260647708555
3,0.012083422558430958,0.7971189729788749,0.0023469350075850178,0.5286206378015322
9,0.007310626164179252,0.8341225057391296,0.0032715713790796904,0.4963229428337282
